nuclides,reactions,groups,xs
H1,"(n,gamma)",1,0.5681548956911273
H1,"(n,gamma)",2,0.3536757177652428
H1,"(n,gamma)",3,0.27925632656525984
H1,"(n,gamma)",4,0.23735165206143255
H1,"(n,gamma)",5,0.20250891085578188
H1,"(n,gamma)",6,0.17683067897264126
H1,"(n,gamma)",7,0.15420674278121976
H1,"(n,gamma)",8,0.13290122208892372
H1,"(n,gamma)",9,0.11855969630342389
H1,"(n,gamma)",10,0.10617427484309543
H1,"(n,gamma)",11,0.09442864742777562
H1,"(n,gamma)",12,0.07742241971975551
H1,"(n,gamma)",13,0.06198001732306601
H1,"(n,gamma)",14,0.05574381917638059
H1,"(n,gamma)",15,0.05390202321890414
H1,"(n,gamma)",16,0.05294661145984416
H1,"(n,gamma)",17,0.05137454279986768
H1,"(n,gamma)",18,0.049848792724889075
H1,"(n,gamma)",19,0.04776964589672328
H1,"(n,gamma)",20,0.044728197185854746
H1,"(n,gamma)",21,0.04093023447402499
H1,"(n,gamma)",22,0.037624166546014456
H1,"(n,gamma)",23,0.034584615649112894
H1,"(n,gamma)",24,0.030901579082996046
H1,"(n,gamma)",25,0.027732274218544174
H1,"(n,gamma)",26,0.021309140041844837
H1,"(n,gamma)",27,0.014934889388050659
H1,"(n,gamma)",28,0.011524955295533386
H1,"(n,gamma)",29,0.008762134402451171
H1,"(n,gamma)",30,0.005802708379833753
H1,"(n,gamma)",31,0.001950442513181774
H1,"(n,gamma)",32,0.0005983040333679142
H1,"(n,gamma)",33,0.00025213003700475537
H1,"(n,gamma)",34,5.469119742564086e-05
H1,"(n,gamma)",35,3.3817759838713e-05
H1,"(n,gamma)",36,3.399086979054545e-05
H1,"(n,gamma)",37,3.615512827906289e-05
H1,"(n,gamma)",38,3.708615673109435e-05
H1,"(n,gamma)",39,3.568878078580476e-05
H1,"(n,gamma)",40,3.3283736738237074e-05
H1,"(n,2n)",1,0.0
H1,"(n,2n)",2,0.0
H1,"(n,2n)",3,0.0
H1,"(n,2n)",4,0.0
H1,"(n,2n)",5,0.0
H1,"(n,2n)",6,0.0
H1,"(n,2n)",7,0.0
H1,"(n,2n)",8,0.0
H1,"(n,2n)",9,0.0
H1,"(n,2n)",10,0.0
H1,"(n,2n)",11,0.0
H1,"(n,2n)",12,0.0
H1,"(n,2n)",13,0.0
H1,"(n,2n)",14,0.0
H1,"(n,2n)",15,0.0
H1,"(n,2n)",16,0.0
H1,"(n,2n)",17,0.0
H1,"(n,2n)",18,0.0
H1,"(n,2n)",19,0.0
H1,"(n,2n)",20,0.0
H1,"(n,2n)",21,0.0
H1,"(n,2n)",22,0.0
H1,"(n,2n)",23,0.0
H1,"(n,2n)",24,0.0
H1,"(n,2n)",25,0.0
H1,"(n,2n)",26,0.0
H1,"(n,2n)",27,0.0
H1,"(n,2n)",28,0.0
H1,"(n,2n)",29,0.0
H1,"(n,2n)",30,0.0
H1,"(n,2n)",31,0.0
H1,"(n,2n)",32,0.0
H1,"(n,2n)",33,0.0
H1,"(n,2n)",34,0.0
H1,"(n,2n)",35,0.0
H1,"(n,2n)",36,0.0
H1,"(n,2n)",37,0.0
H1,"(n,2n)",38,0.0
H1,"(n,2n)",39,0.0
H1,"(n,2n)",40,0.0
H1,"(n,p)",1,0.0
H1,"(n,p)",2,0.0
H1,"(n,p)",3,0.0
H1,"(n,p)",4,0.0
H1,"(n,p)",5,0.0
H1,"(n,p)",6,0.0
H1,"(n,p)",7,0.0
H1,"(n,p)",8,0.0
H1,"(n,p)",9,0.0
H1,"(n,p)",10,0.0
