nuclides,reactions,groups,xs
Xe135,fission,31,0.0
Xe135,fission,32,0.0
Xe135,fission,33,0.0
Xe135,fission,34,0.0
Xe135,fission,35,0.0
Xe135,fission,36,0.0
Xe135,fission,37,0.0
Xe135,fission,38,0.0
Xe135,fission,39,0.0
Xe135,fission,40,0.0
Xe136,"(n,gamma)",1,0.44219605465713063
Xe136,"(n,gamma)",2,0.2780098653307783
Xe136,"(n,gamma)",3,0.21932795352161255
Xe136,"(n,gamma)",4,0.18629279577733113
Xe136,"(n,gamma)",5,0.15929883748335574
Xe136,"(n,gamma)",6,0.1391871568584082
Xe136,"(n,gamma)",7,0.12133972532815993
Xe136,"(n,gamma)",8,0.10470238632570723
Xe136,"(n,gamma)",9,0.09356928307071166
Xe136,"(n,gamma)",10,0.08382382157193737
Xe136,"(n,gamma)",11,0.07451976396678317
Xe136,"(n,gamma)",12,0.06121804465763656
Xe136,"(n,gamma)",13,0.04915230671238045
Xe136,"(n,gamma)",14,0.044186638988021706
Xe136,"(n,gamma)",15,0.04277808878156379
Xe136,"(n,gamma)",16,0.04202594424245734
Xe136,"(n,gamma)",17,0.04075210043977645
Xe136,"(n,gamma)",18,0.039597057348518615
Xe136,"(n,gamma)",19,0.03797078611593289
Xe136,"(n,gamma)",20,0.03556301617615879
Xe136,"(n,gamma)",21,0.032593499169536966
Xe136,"(n,gamma)",22,0.029965484332176193
Xe136,"(n,gamma)",23,0.02759824948980129
Xe136,"(n,gamma)",24,0.02470714117860307
Xe136,"(n,gamma)",25,0.02217237470895868
Xe136,"(n,gamma)",26,0.017154555793169633
Xe136,"(n,gamma)",27,0.012018520591206361
Xe136,"(n,gamma)",28,0.009226994913105316
Xe136,"(n,gamma)",29,0.006947175912848701
Xe136,"(n,gamma)",30,0.004399608661030105
Xe136,"(n,gamma)",31,0.003372937967273296
Xe136,"(n,gamma)",32,0.0006658510788984751
Xe136,"(n,gamma)",33,0.000999108006624319
Xe136,"(n,gamma)",34,0.0007150271589599139
