nuclides,reactions,groups,xs
H3,fission,6,0.0
H3,fission,7,0.0
H3,fission,8,0.0
He3,"(n,gamma)",1,5.2995154624546175e-05
He3,"(n,gamma)",2,2.969557374044257e-05
He3,"(n,gamma)",3,2.0028820448502406e-05
He3,"(n,gamma)",4,1.364038539272139e-05
He3,"(n,gamma)",5,7.334074700829569e-06
He3,"(n,gamma)",6,2.615671038114609e-06
He3,"(n,gamma)",7,3.289615024978586e-05
He3,"(n,gamma)",8,8.209285390345119e-05
He3,"(n,2n)",1,0.0
He3,"(n,2n)",2,0.0
He3,"(n,2n)",3,0.0
He3,"(n,2n)",4,0.0
He3,"(n,2n)",5,0.0
He3,"(n,2n)",6,0.0
He3,"(n,2n)",7,0.0
He3,"(n,2n)",8,0.0
He3,"(n,p)",1,5122.909415744115
He3,"(n,p)",2,2867.918459783634
He3,"(n,p)",3,1930.4072171333191
He3,"(n,p)",4,1311.1473153027036
He3,"(n,p)",5,698.4081289484908
He3,"(n,p)",6,98.68395759368958
He3,"(n,p)",7,2.389435625791539
He3,"(n,p)",8,0.7219747086767142
He3,"(n,a)",1,0.0
He3,"(n,a)",2,0.0
He3,"(n,a)",3,0.0
He3,"(n,a)",4,0.0
He3,"(n,a)",5,0.0
He3,"(n,a)",6,0.0
He3,"(n,a)",7,0.0
He3,"(n,a)",8,0.0
He3,"(n,3n)",1,0.0
He3,"(n,3n)",2,0.0
He3,"(n,3n)",3,0.0
He3,"(n,3n)",4,0.0
He3,"(n,3n)",5,0.0
He3,"(n,3n)",6,0.0
He3,"(n,3n)",7,0.0
He3,"(n,3n)",8,0.0
He3,"(n,4n)",1,0.0
He3,"(n,4n)",2,0.0
He3,"(n,4n)",3,0.0
He3,"(n,4n)",4,0.0
He3,"(n,4n)",5,0.0
He3,"(n,4n)",6,0.0
He3,"(n,4n)",7,0.0
He3,"(n,4n)",8,0.0
He3,fission,1,0.0
He3,fission,2,0.0
He3,fission,3,0.0
He3,fission,4,0.0
He3,fission,5,0.0
He3,fission,6,0.0
He3,fission,7,0.0
He3,fission,8,0.0
He4,"(n,gamma)",1,0.0
He4,"(n,gamma)",2,0.0
He4,"(n,gamma)",3,0.0
He4,"(n,gamma)",4,0.0
He4,"(n,gamma)",5,0.0
He4,"(n,gamma)",6,0.0
He4,"(n,gamma)",7,0.0
He4,"(n,gamma)",8,0.0
He4,"(n,2n)",1,0.0
He4,"(n,2n)",2,0.0
He4,"(n,2n)",3,0.0
He4,"(n,2n)",4,0.0
He4,"(n,2n)",5,0.0
He4,"(n,2n)",6,0.0
He4,"(n,2n)",7,0.0
He4,"(n,2n)",8,0.0
He4,"(n,p)",1,0.0
He4,"(n,p)",2,0.0
He4,"(n,p)",3,0.0
He4,"(n,p)",4,0.0
He4,"(n,p)",5,0.0
He4,"(n,p)",6,0.0
He4,"(n,p)",7,0.0
He4,"(n,p)",8,0.0
He4,"(n,a)",1,0.0
He4,"(n,a)",2,0.0
He4,"(n,a)",3,0.0
He4,"(n,a)",4,0.0
He4,"(n,a)",5,0.0
He4,"(n,a)",6,0.0
He4,"(n,a)",7,0.0
He4,"(n,a)",8,0.0
He4,"(n,3n)",1,0.0
He4,"(n,3n)",2,0.0
He4,"(n,3n)",3,0.0
He4,"(n,3n)",4,0.0
He4,"(n,3n)",5,0.0
He4,"(n,3n)",6,0.0
He4,"(n,3n)",7,0.0
He4,"(n,3n)",8,0.0
He4,"(n,4n)",1,0.0
He4,"(n,4n)",2,0.0
He4,"(n,4n)",3,0.0
He4,"(n,4n)",4,0.0
He4,"(n,4n)",5,0.0
He4,"(n,4n)",6,0.0
He4,"(n,4n)",7,0.0
He4,"(n,4n)",8,0.0
He4,fission,1,0.0
He4,fission,2,0.0
He4,fission,3,0.0
He4,fission,4,0.0
He4,fission,5,0.0
He4,fission,6,0.0
He4,fission,7,0.0
He4,fission,8,0.0
Li6,"(n,gamma)",1,0.03710389950404022
Li6,"(n,gamma)",2,0.020775390115347982
Li6,"(n,gamma)",3,0.01398778657736587
Li6,"(n,gamma)",4,0.009503101034884182
Li6,"(n,gamma)",5,0.005065878625577797
Li6,"(n,gamma)",6,0.0007235949178129788
Li6,"(n,gamma)",7,2.3277592748273822e-05
Li6,"(n,gamma)",8,1.116264444947859e-05
Li6,"(n,2n)",1,0.0
Li6,"(n,2n)",2,0.0
Li6,"(n,2n)",3,0.0
Li6,"(n,2n)",4,0.0
Li6,"(n,2n)",5,0.0
Li6,"(n,2n)",6,0.0
Li6,"(n,2n)",7,0.0
Li6,"(n,2n)",8,0.0
Li6,"(n,p)",1,0.0
Li6,"(n,p)",2,0.0
Li6,"(n,p)",3,0.0
Li6,"(n,p)",4,0.0
Li6,"(n,p)",5,0.0
Li6,"(n,p)",6,0.0
Li6,"(n,p)",7,0.0
Li6,"(n,p)",8,0.005051855968978181
Li6,"(n,a)",1,0.0
Li6,"(n,a)",2,0.0
Li6,"(n,a)",3,0.0
Li6,"(n,a)",4,0.0
Li6,"(n,a)",5,0.0
Li6,"(n,a)",6,0.0
Li6,"(n,a)",7,0.0
Li6,"(n,a)",8,0.0
Li6,"(n,3n)",1,0.0
Li6,"(n,3n)",2,0.0
Li6,"(n,3n)",3,0.0
Li6,"(n,3n)",4,0.0
Li6,"(n,3n)",5,0.0
Li6,"(n,3n)",6,0.0
Li6,"(n,3n)",7,0.0
Li6,"(n,3n)",8,0.0
Li6,"(n,4n)",1,0.0
Li6,"(n,4n)",2,0.0
Li6,"(n,4n)",3,0.0
Li6,"(n,4n)",4,0.0
Li6,"(n,4n)",5,0.0
Li6,"(n,4n)",6,0.0
Li6,"(n,4n)",7,0.0
Li6,"(n,4n)",8,0.0
Li6,fission,1,0.0
Li6,fission,2,0.0
Li6,fission,3,0.0
Li6,fission,4,0.0
Li6,fission,5,0.0
Li6,fission,6,0.0
Li6,fission,7,0.0
Li6,fission,8,0.0
Li7,"(n,gamma)",1,0.04375604882674759
Li7,"(n,gamma)",2,0.024502323122132588
Li7,"(n,gamma)",3,0.01649666967605
Li7,"(n,gamma)",4,0.011206747918221216
Li7,"(n,gamma)",5,0.005973818495183882
Li7,"(n,gamma)",6,0.00084662802098871
Li7,"(n,gamma)",7,3.241197272425676e-05
Li7,"(n,gamma)",8,4.756486042572826e-06
Li7,"(n,2n)",1,0.0
Li7,"(n,2n)",2,0.0
Li7,"(n,2n)",3,0.0
Li7,"(n,2n)",4,0.0
Li7,"(n,2n)",5,0.0
Li7,"(n,2n)",6,0.0
Li7,"(n,2n)",7,0.0
Li7,"(n,2n)",8,5.050368693233587e-05
Li7,"(n,p)",1,0.0
Li7,"(n,p)",2,0.0
Li7,"(n,p)",3,0.0
Li7,"(n,p)",4,0.0
Li7,"(n,p)",5,0.0
Li7,"(n,p)",6,0.0
Li7,"(n,p)",7,0.0
Li7,"(n,p)",8,0.0
Li7,"(n,a)",1,0.0
Li7,"(n,a)",2,0.0
Li7,"(n,a)",3,0.0
Li7,"(n,a)",4,0.0
Li7,"(n,a)",5,0.0
Li7,"(n,a)",6,0.0
Li7,"(n,a)",7,0.0
Li7,"(n,a)",8,0.0
Li7,"(n,3n)",1,0.0
Li7,"(n,3n)",2,0.0
Li7,"(n,3n)",3,0.0
Li7,"(n,3n)",4,0.0
Li7,"(n,3n)",5,0.0
Li7,"(n,3n)",6,0.0
Li7,"(n,3n)",7,0.0
Li7,"(n,3n)",8,0.0
Li7,"(n,4n)",1,0.0
Li7,"(n,4n)",2,0.0
Li7,"(n,4n)",3,0.0
Li7,"(n,4n)",4,0.0
Li7,"(n,4n)",5,0.0
Li7,"(n,4n)",6,0.0
Li7,"(n,4n)",7,0.0
Li7,"(n,4n)",8,0.0
Li7,fission,1,0.0
Li7,fission,2,0.0
Li7,fission,3,0.0
Li7,fission,4,0.0
Li7,fission,5,0.0
Li7,fission,6,0.0
Li7,fission,7,0.0
Li7,fission,8,0.0
Be9,"(n,gamma)",1,0.009666370957150588
Be9,"(n,gamma)",2,0.005418092780690473
Be9,"(n,gamma)",3,0.003647636373165815
Be9,"(n,gamma)",4,0.0024778154987182836
Be9,"(n,gamma)",5,0.0013200147027229233
Be9,"(n,gamma)",6,0.00018876484631743506
Be9,"(n,gamma)",7,6.3123918070399625e-06
Be9,"(n,gamma)",8,2.0532330614323024e-06
Be9,"(n,2n)",1,0.0
Be9,"(n,2n)",2,0.0
Be9,"(n,2n)",3,0.0
Be9,"(n,2n)",4,0.0
Be9,"(n,2n)",5,0.0
Be9,"(n,2n)",6,0.0
Be9,"(n,2n)",7,0.0
Be9,"(n,2n)",8,0.1423343775193866
Be9,"(n,p)",1,0.0
Be9,"(n,p)",2,0.0
Be9,"(n,p)",3,0.0
Be9,"(n,p)",4,0.0
Be9,"(n,p)",5,0.0
Be9,"(n,p)",6,0.0
Be9,"(n,p)",7,0.0
Be9,"(n,p)",8,3.552848955138075e-08
Be9,"(n,a)",1,0.0
Be9,"(n,a)",2,0.0
Be9,"(n,a)",3,0.0
Be9,"(n,a)",4,0.0
Be9,"(n,a)",5,0.0
Be9,"(n,a)",6,0.0
Be9,"(n,a)",7,5.6443506060412356e-06
Be9,"(n,a)",8,0.04639540430958448
Be9,"(n,3n)",1,0.0
Be9,"(n,3n)",2,0.0
Be9,"(n,3n)",3,0.0
Be9,"(n,3n)",4,0.0
Be9,"(n,3n)",5,0.0
Be9,"(n,3n)",6,0.0
Be9,"(n,3n)",7,0.0
Be9,"(n,3n)",8,0.0
Be9,"(n,4n)",1,0.0
Be9,"(n,4n)",2,0.0
Be9,"(n,4n)",3,0.0
Be9,"(n,4n)",4,0.0
Be9,"(n,4n)",5,0.0
Be9,"(n,4n)",6,0.0
Be9,"(n,4n)",7,0.0
Be9,"(n,4n)",8,0.0
Be9,fission,1,0.0
Be9,fission,2,0.0
Be9,fission,3,0.0
Be9,fission,4,0.0
Be9,fission,5,0.0
Be9,fission,6,0.0
Be9,fission,7,0.0
Be9,fission,8,0.0
B10,"(n,gamma)",1,0.48166219356451384
B10,"(n,gamma)",2,0.26937003468331455
B10,"(n,gamma)",3,0.18117463695889616
B10,"(n,gamma)",4,0.12296241398151134
B10,"(n,gamma)",5,0.06544450182486655
B10,"(n,gamma)",6,0.009309884204314516
B10,"(n,gamma)",7,0.00027473119874756724
B10,"(n,gamma)",8,2.3171392583106346e-06
B10,"(n,2n)",1,0.0
B10,"(n,2n)",2,0.0
B10,"(n,2n)",3,0.0
B10,"(n,2n)",4,0.0
B10,"(n,2n)",5,0.0
B10,"(n,2n)",6,0.0
B10,"(n,2n)",7,0.0
B10,"(n,2n)",8,0.0
B10,"(n,p)",1,0.0005454475265125522
B10,"(n,p)",2,0.00030539339069397944
B10,"(n,p)",3,0.0002056040565134972
B10,"(n,p)",4,0.0001396750604927758
B10,"(n,p)",5,7.456281128359843e-05
B10,"(n,p)",6,1.0912650241938876e-05
B10,"(n,p)",7,6.451741222050313e-05
B10,"(n,p)",8,0.012777967578757413
B10,"(n,a)",1,3702.8795882480185
B10,"(n,a)",2,2072.8020242513417
B10,"(n,a)",3,1395.2830362675827
B10,"(n,a)",4,947.7282892258925
B10,"(n,a)",5,505.04140670629994
